CODE	CYL	CUSTOMER	PLATE DESCRIPTION
C - 107		Bundaberg Packers	2kg Net Fresh Produce
C – 108		Bundaberg Packers	4kg Net Fresh Produce
C – 109		Pelagic Fish – New Plates 16.09.11	East coast Pilchards 2kg block “new address”
C – 110		SKUDO	LT
C - 111		SKUDO	MT
C - 112		SKUDO	HT
C - 113		STOCK – NEW CLINICAL WASTE	TO FIT 620CYL USE ON 550MM REPEAT
C – 114		WAYNE RICHARDSON	UNITED FASTENERS 2 VARIETIES
C – 115		Q.I.S PACKAGING	GRAIN CORP – SMALL BAG
C - 116		Crownpack/Detmold	CLINICAL WASTE SMALL PLATES – 1 AR 480MM CYLINDER – 1 PLATES – 2 IMAGES
C - 117		QIS PACKAGING	PARTY ICE 1 AR 620MM CYLINDER
C - 118		SUNSHINE MITRE 10 (Current)	SUNSHINE MITRE 10
C - 119		             SUCROGEN AUSTRALIA	GENERAL BUILDING WASTE NON-HAZARDOUS
C - 120	1AR X 390	COMPLETE AIR SUPPLY	X 8 plates
C - 121	1AR X 390	Brisbane Hanger	Dry Cleaning Valet Service
C - 122		ABL	Salvage
C - 123		POLYCELL	POLYCELL – AIR BUBBLE CUSHION
C - 124		DYNAMIC TIMBERS	DYNAMIC TIMBERS TIMBER WRAP
C - 125		CARDBOARD BOX SHOP	CON-SERV HEALTHCARE SOLUTIONS
C - 126	1AR X 460	AGM INSULATION 	SUPA-THERM
C - 127		AUSTECH	AUSTECH
C - 128	1AR X 390	HEALTHY FOOD GROUP	HEATHY FOOD GROUP BEEF / CHICKEN
C - 129		HEALTHY FOOD GROUP	(HFG) DICED CHICKEN/ FINE MINCE/ KIDNEY
C - 130	2AR x 620	Polycell	Visy boxes – with recycle logo
C - 131		Geofrabrices	Texel – made in Australia
C - 132		Geofrabrices	Maccaferri – Engineering a better solution
C - 133		CLEANSURE	Contaminated waste
C - 134		REDBLADE	EVERSONS
C - 135		BMS - MITRE 10 	BMS – BUILDING MATERIAL SUPPLIES
C - 136	1AR X 390	Total choice Packaging	OUR AIRLINE
C - 137		AUSTECH	Prestige Exteriors
C - 138		GEOFABRICS	Bunker Mat 
C - 139		IPLEX	IPLEX
C - 140	1AR X 620	TRADE - LINE SITE 	TEMPORARY DOWNPIPE
C - 141	1AR X 620	FAR NORTH TIMBER SALES	FAR NORTH TIMBER SALES
C - 142	2AR X 810	PINE TECH AUST – AKARA TIMBERS	ORGANIC 5KG AUSSORB FLOOR SWEEP , ABSORBENT
C - 143	2ar x 390	ENVIROSMART IND	HAZARDOUS WASTE
C - 144	1AR X 390	TOTAL CHOICE PACKAGING	NAURU AIRLINE
C - 145	1AR X 460	SIGNET	ASBESTOS PLATE(FOR SIGNET ONLY)
C - 146		AXIUS	CONTAMINATED WASTE DISPOSAL BAG
C - 147	1AR X 720	GEOFABRICS	SIKA
C - 148		SPILL STATION AUST	CONTAMINATED WASTE 
C - 149	1 AR x 460	ABL	LSM TECHNOLOGIES
