

Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2024 to 30 June 2025																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
100% REEF SAFE																
949668	20 Mar 2025	Receivable Invoice	BELINDA PHONE 20.03.25		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	2.0000	90.0000	0.00	18.00	198.00	198.00	0.00	7612		4020	Sales - Imported Finished Goods
949815	10 Apr 2025	Receivable Invoice	PHONE		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	2.0000	90.0000	0.00	18.00	198.00	396.00	0.00	7612		4020	Sales - Imported Finished Goods
949815	10 Apr 2025	Receivable Invoice	PHONE		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	2.0000	90.0000	0.00	18.00	198.00	396.00	0.00	7612		4040	Sales - Purchased Finished Goods
949815	10 Apr 2025	Receivable Invoice	PHONE		**TBC BY CUSTOMER IN 1/2 HOUR***	1.0000	0.0000	0.00	0.00	0.00	396.00	0.00	7612			
949966	08 May 2025	Receivable Invoice	WALK IN		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	3.0000	90.0000	0.00	27.00	297.00	297.00	0.00	7612		4020	Sales - Imported Finished Goods
950133	06 Jun 2025	Receivable Invoice	WALKIN 06.06.25		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	1.0000	90.0000	0.00	9.00	99.00	297.00	0.00	7612		4040	Sales - Purchased Finished Goods
950133	06 Jun 2025	Receivable Invoice	WALKIN 06.06.25		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)   - (Customer Part # WRAP)	2.0000	90.0000	0.00	18.00	198.00	297.00	0.00	7612		4020	Sales - Imported Finished Goods
Total A1 COATERS						33.0000		0.00	288.13	3,169.47		0.00				
																
AAA SOFT FURNISHINGS DIRECT																
949560	31 Mar 2025	Receivable Invoice	EMAIL 27.02.25		T51035(25KG) - L/D NATURAL POLYTUBE 510MM X 35UM, 25KG/ROLL, $PER KG (UOM = kg)   - (Customer Part # TUBE)	50.0000	6.4500	0.00	32.25	354.75	354.75	0.00	5101		4030	Sales - Manufactured Finished Goods
949560	31 Mar 2025	Receivable Invoice	EMAIL 27.02.25		*****CALL CUSTOMER READY FOR DISPATCH ****	1.0000	0.0000	0.00	0.00	0.00	354.75	0.00	5101			
Total AAA SOFT FURNISHINGS DIRECT						51.0000		0.00	32.25	354.75		0.00				
																
ABL - As SIGNET																
948150	31 Jul 2024	Receivable Invoice	PO062766		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	100.0000	5.1000	0.00	51.00	561.00	1,683.00	0.00	5103		4030	Sales - Manufactured Finished Goods
948150	31 Jul 2024	Receivable Invoice	PO062766		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	200.0000	5.1000	0.00	102.00	1,122.00	1,683.00	0.00	5103		4030	Sales - Manufactured Finished Goods
948150	31 Jul 2024	Receivable Invoice	PO062766		**USE BB ACCOUNT TO SHIP WHEN READY***	1.0000	0.0000	0.00	0.00	0.00	1,683.00	0.00	5103			
948150-02	05 Aug 2024	Receivable Invoice	PO062766		T400200P-PTE HYRDAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 400MM X 200UM, 20KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T400200P)	100.0000	5.1000	0.00	51.00	561.00	561.00	0.00	5103		4030	Sales - Manufactured Finished Goods
948150-02	05 Aug 2024	Receivable Invoice	PO062766		"****SHIP WITH 948213/PO036103*948233/PO063339/
948150-01/-948150-02/PO062766***"	1.0000	0.0000	0.00	0.00	0.00	561.00	0.00	5103			
948213	05 Aug 2024	Receivable Invoice	PO063103		T400150WHP - L/D WHITE POLY TUBE PRINTED 2C/1S 'QLD GASKETS' 400MM X 225MTS X 150UM;$/ROLL (UOM = ROLL)	4.0000	152.5000	0.00	61.00	671.00	671.00	0.00	5103		4030	Sales - Manufactured Finished Goods
948213	05 Aug 2024	Receivable Invoice	PO063103		**SEND WITH  BB ON ACCOUNT***	1.0000	0.0000	0.00	0.00	0.00	671.00	0.00	5103			
948213	05 Aug 2024	Receivable Invoice	PO063103		"****SHIP WITH 948213/PO036103*948233/PO063339/
948150-01/-948150-02/PO062766***"	1.0000	0.0000	0.00	0.00	0.00	671.00	0.00	5103			
948233	05 Aug 2024	Receivable Invoice	PO063339		T400200P-PTE HYRDAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 400MM X 200UM, 20KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T400200P)	300.0000	5.1000	0.00	153.00	1,683.00	1,683.00	0.00	5103		4030	Sales - Manufactured Finished Goods
948233	05 Aug 2024	Receivable Invoice	PO063339		**USE BB ACCOUNT WHEN SHIPPING***	1.0000	0.0000	0.00	0.00	0.00	1,683.00	0.00	5103			
948233	05 Aug 2024	Receivable Invoice	PO063339		"****SHIP WITH 948213/PO036103*948233/PO063339/
948150-01/-948150-02/PO062766***"	1.0000	0.0000	0.00	0.00	0.00	1,683.00	0.00	5103			
948352	22 Aug 2024	Receivable Invoice	PO064543		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.1000	0.00	102.00	1,122.00	1,122.00	0.00	5103		4030	Sales - Manufactured Finished Goods
948439	27 Aug 2024	Receivable Invoice	PO065267		CF1000(2000)50UM200MTBK - L/D BLACK CENTREFOLD 1000(2000) X 50UM  ;200MT/ROLL;  $/ROLL (UOM = ROLL)   - (Customer Part # 10850)	5.0000	102.0000	0.00	51.00	561.00	561.00	0.00	5103		4030	Sales - Manufactured Finished Goods
948439	27 Aug 2024	Receivable Invoice	PO065267		****SEND WITH  BB ON ACCOUNT***	1.0000	0.0000	0.00	0.00	0.00	561.00	0.00	5103			
948439	27 Aug 2024	Receivable Invoice	PO065267		***ABL ARE CLOSED ON SHOW DAY 30TH AUGUST NO DELIVERIES ON THIS DAY*****	1.0000	0.0000	0.00	0.00	0.00	561.00	0.00	5103			
948575	27 Sep 2024	Receivable Invoice	PO066098		PB10001200100 - L/D NATURAL POLY BAG 1000MM X 1200MM X 100UM $/1000 (UOM = THOU)   - (Customer Part # .)	1.0000	1,389.0000	0.00	138.90	1,527.90	1,527.90	0.00	5103		4030	Sales - Manufactured Finished Goods
