Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2025 to 30 June 2026																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
A1 COATERS																
950107	18 Jul 2025	Receivable Invoice	PO078979		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,741.62	0.00	5103			
950107	18 Jul 2025	Receivable Invoice	PO078979		**BB ACCOUNT*****	1.0000	0.0000	0.00	0.00	0.00	1,741.62	0.00	5103			
950384	06 Nov 2025	Receivable Invoice	PO081771		T150150Y - L/D YELLOW TUBE 150MM X 360M X 150UM  15kg/ROLL  $/kg (UOM = kg)	105.0000	5.3000	0.00	55.65	612.15	1,626.57	0.00	5103		4030	Sales - Manufactured Finished Goods
950384	06 Nov 2025	Receivable Invoice	PO081771		PB30545535BT - LD BLUE TINT POLY BAG 305MM X 455MM X 35UM ; 1000/CTN ; $/1000 ; (BOTTOM SEAL) (UOM = THOU)	12.0000	76.8500	0.00	92.22	1,014.42	1,626.57	0.00	5103		4030	Sales - Manufactured Finished Goods
950384	06 Nov 2025	Receivable Invoice	PO081771		**APPROVED PRICE BY MICHELLE VIA EMAIL.****	1.0000	0.0000	0.00	0.00	0.00	1,626.57	0.00	5103			
950384	06 Nov 2025	Receivable Invoice	PO081771		**SPOKE TO MICHELLE TOLD TO PUTON THIER BB ACCOUNT****6/11/25	1.0000	0.0000	0.00	0.00	0.00	1,626.57	0.00	5103			
950489	14 Nov 2025	Receivable Invoice	PO082734		T1200100-25KG - LD CLEAR POLY TUBE 1200MM X 114M X 100UM ; 25KG/ROLL ; $/ROLL (UOM = ROLL)   - (Customer Part # TUBE)	4.0000	140.0000	0.00	56.00	616.00	616.00	0.00	5103		4030	Sales - Manufactured Finished Goods
951193	04 Mar 2026	Receivable Invoice	PO089114		T1200100-25KG - LD CLEAR POLY TUBE 1200MM X 114M X 100UM ; 25KG/ROLL ; $/ROLL (UOM = ROLL)   - (Customer Part # TUBE)	4.0000	105.0000	0.00	42.00	462.00	1,613.15	462.00	5103		4030	Sales - Manufactured Finished Goods
951193	04 Mar 2026	Receivable Invoice	PO089114		FREIGHT OUTGOING - FREIGHT HANDLING, BOOKING AND ADMIN FEE DISPATCHED FROM WARANA WAREHOUSE (UOM = ea)	1.0000	0.0000	0.00	0.00	0.00	1,613.15	0.00	5103			
951193	04 Mar 2026	Receivable Invoice	PO089114		****DUE TO RISING FREIGHT COST AND FUEL LEVY INCREASES, NEW FREIGHT COST **ALL ORDERS FREIGHT WILL BE CALCULATED ON COMPLETION OF THE ORDER **PLEASE ADVISE IF YOU HAVE ALTERNATIVE FREIGHT OPTIONS***	1.0000	0.0000	0.00	0.00	0.00	1,613.15	0.00	5103			
951193	04 Mar 2026	Receivable Invoice	PO089114		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,613.15	0.00	5103			
