batch_no,created_date,customer,due_date,file_name,file_stem,import_line_description,import_requires_job_sheet,item,item_code,job_sheet_id,line_index,match_reasons,match_score,match_status,myob_item_number,notes,order_code,order_id,order_item_id,print_type,roll_type,sheet_name,total_kgs,total_mts,total_rolls
945773,2023-05-26,ULTRA CORAL,2020-12-07,PB200475100 - #6 BAG.xlsx,PB200475100 - #6 BAG,PB200475100 - (#6 BAG) - LD NATURAL POLY BAG 200MM X 475MM X 100UM; 1000/CARTON; $/1000 (UOM = THOU)   - (Customer Part # #6 BAG),True,PB200475100,#6 BAG - SMALL ACRO,297fae52-efae-427b-9c60-412486888359,2,"customer_partial,item_matches_description_prefix,line_requires_job_sheet",158.0,matched,,MUST BE WITHIN TOLERANCE - MUST HAVE WATER TIGHT SEALS - PLEASE CHECK SEALS FREQUENTLY.,945773,ee523197-50cb-4256-abb0-7ac2a7c2e19e,6b5d4e88-d576-4c3a-bc0a-6f181c37d654,None,,Sheet1,95.0,2565.0,6.0
54946,2020-05-14,DENOOZE,2020-06-07,PB205305100 - QPB06 - DENOOZE.xlsx,PB205305100 - QPB06 - DENOOZE,PB205305100 QPB06 - QPB06  LD NATURAL POLYBAG 205MM (W) X 305MM (L) X 100UM ;1000/CTN $/CTN (UOM = CTN)   - (Customer Part # -),True,PB205305100,QPB06 - DENOOZE,1cab2d90-f37d-4e9b-a11a-61c5af30b08b,1,"item_matches_description_prefix,qty_rolls_close_1pct,line_requires_job_sheet",158.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944125,bf4fe094-66f5-4343-b638-cc8d0010a588,622d4cac-5e96-4bae-9b3b-5ff20e23a5d7,None,,Sheet1,125.05000000000001,3294.0,8.0
939331,2021-01-18,DAVES POPCORN,,PB20536038- UNPRINTED.xlsx,PB20536038- UNPRINTED,PB20536038 UNPRINTED - LD CLEAR POLY BAG 205MM X 360MM X 38UM ; 1000/CTN ; $/1000 (UOM = THOU),True,PB20536038 UNPRINTED,UNPRINTED,69e71bcb-fd32-411b-bb58-68b44db8cc8e,0,"customer_exact,item_matches_description_prefix,item_code_matches_description_second_token,line_requires_job_sheet",283.0,matched,,FOOD GRADE TOLERANCE +/- 3MM - NO CUTS IN PLASTIC - NO BURN UP - NO CREASING,944358,ebd0581c-c111-4384-b79a-94b3be61abd2,adc6151b-3a44-4e78-b95f-fbf521d93bf8,None,,Sheet1,56.08800000000001,3888.0000000000005,4.0
950302,2025-07-17,OCEAN PETS,,PB21042050 OUTER BAG 3.xlsx,PB21042050 OUTER BAG 3,PB125440100 - INCH 5 - L/D NATURAL POLY BAG 125MM X 440MM X 100UM(INCH 5);$/THOU (UOM = THOU),True,PB125440100,Batch No,47d30bc0-c265-4c59-98d3-4b868136b959,1,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,950302,60b8cbc2-9f85-4bf9-af2a-cd2528146826,266c03a8-e2ae-45ae-a451-f2958b65354b,None,,Sheet1,55.0,2376.0,4.0
944358,2022-10-14,DAVES POPCORN,,PB23550038.xlsx,PB23550038,PB23550038 - L/D NATURAL POLY BAG 235MM X 500MM X 38UM;1000/CTN;$/THOU (UOM = THOU),True,PB23550038,Batch No,1dc148b9-4e29-44c3-a345-499fbe822e8e,1,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,944358,ebd0581c-c111-4384-b79a-94b3be61abd2,67154ae4-f275-4acd-824c-f22aea97d739,None,,Sheet1,53.580000000000005,3240.0,4.0
939417,2021-01-25,FERNLAND AGENCIES,,PB240G360100BKUV - CUSBAG150300 FERNLAND.xlsx,PB240G360100BKUV - CUSBAG150300 FERNLAND,"PB240G360140BKUV - FERNLANDS:BLACK PLANTER BAG WITH UV (5.0 LITRE) 240MM GUSSETT (125MM+115MM) X 360MM X 140UM VENTED, $/1000 (UOM = THOU)   - (Customer Part # CUSBAG150/300HD)",True,PB240G360100BKUVV,CUSBAG150/300,d41ab96d-b519-438f-a17b-66cd158597c4,0,"customer_exact,item_code_found_in_description,qty_rolls_close_1pct,line_requires_job_sheet",93.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,947576,2a509b3e-d8ef-4cb3-8aa6-8a2bbf3cba2a,7d88734d-5f89-408a-b4ce-22f3623d0c43,None,,Sheet1,259.20000000000005,5832.0,12.0
945635,2023-05-11,INJECTION MOULDING,2023-06-10,PB25050040.xlsx,PB25050040,PB25050075 - L/D NATURAL POLY BAG 250MM X 500M X 75UM; $/1000 (UOM = THOU)   - (Customer Part # BAG),True,PB25050075,Batch No,e29533cf-3aad-4e84-9154-bac1af48b71d,0,"customer_partial,item_matches_description_prefix,line_requires_job_sheet",158.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,945635,2bd6b4c4-3378-4206-aa4d-723030f0b82f,6a93e884-222c-4fa5-85fc-9ab45227f521,None,,Sheet1,93.74999999999999,2700.0,6.0
945068,2023-01-31,EAST COAST CITRUS,,PB250G370140WHV.xlsx,PB250G370140WHV,PB250G370140WH - L/D WHITE PLANTER BAG 250MM GUSSETT (130MM+120MM) X 370MM X 140UM;$/THOU (UOM = THOU),True,PB250G370140WHUVV,WHITE,775f4db1-112b-4438-bca3-8e2e86d5ea3e,1,"customer_exact,item_code_matches_description_token,line_requires_job_sheet",103.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,945068,5a0bcde6-91d7-47fb-a740-3f38d970b0cc,0fec4f67-aa57-414a-8173-bddbab3c1354,None,,Sheet1,129.5,1998.0000000000002,8.0
945355,2024-03-07,CALOUNDRA PRODUCE,,PB25738750 - 1KG BAG.xlsx,PB25738750 - 1KG BAG,"PB25738750 - LD NATURAL POLY BAG  257MM X 387MM X 50UM ; 1000/CTN ; $/1000 ""1KG BAG"" (UOM = THOU)   - (Customer Part # BAG)",True,PB257387500,1KG BAG,74c0d8d2-b162-4630-839e-b9de2022eb36,0,"customer_exact,item_code_found_in_description,qty_rolls_close_1pct,line_requires_job_sheet",93.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,946844,2bc98dcb-da73-4401-81bd-7bc07f71af6d,8b1cf721-e17d-491d-a10f-1421134abfcd,None,,Sheet1,119.3508,5015.52,6.0
938709,2024-10-28,GLADSTONE CORAL,2020-11-17,PB26031035P - EMPERORS.xlsx,PB26031035P - EMPERORS,PB26031035P-EMPEROR - LD NATURAL POLY BAG PRINTED 'EMPERORS' 1C/1S BLACK ; 260MM X 310MM X 35UM ; 1000/CARTON ; $/1000 (UOM = THOU)   - (Customer Part # BAG),True,PB26031035P,EMPERORS,e5dded15-b29a-4c83-993d-a1224da48db6,0,"customer_partial,item_matches_description_prefix,item_code_matches_description_token,line_requires_job_sheet",218.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,948175,fc4b5c3d-ec54-4b53-931a-f56a28127266,257a04a4-8081-4555-a9d6-5fd94b92775c,Random Print,,Sheet1,56.42,3348.0,4.0
